C,H,O,N,S,P,Se,Na,Cl,13C,m/z,H/C,O/C,KM,NKM,KMD,DBE,DBE-O,13Cratio,AImod,Sep-t0-1,Sep-t0-2,Sep-t0-3,Sep-t1-1,Sep-t1-2,Sep-t1-3,Sep-t1-UF-R,Sep-t1-UF-S,Oct-t0-1,Oct-t0-2,Oct-t0-3,Oct-t1-1,Oct-t1-2,Oct-t1-3,Oct-t1-UF-R,Oct-t1-UF-S,Dec-t0-1,Dec-t0-2,Dec-t0-3,Dec-t1-1,Dec-t1-2,Dec-t1-3,Dec-t1-UF-R,Dec-t1-UF-S,Feb-t0-1,Feb-t0-2,Feb-t0-3,Feb-t1-1,Feb-t1-2,Feb-t1-3,Feb-t1-UF-R,Feb-t1-UF-S,Oct-MQ-1,Oct-MQ-2,Oct-MQ-3,Jan-MQ-A,Jan-MQ-B,Jan-MQ-C,Mar-MQ-A,Mar-MQ-B,Mar-MQ-C,may-MQ-A,may-MQ-B,may-MQ-C,jul-MQ-A,jul-MQ-B,jul-MQ-C,PLFA-1,PLFA-3
11,6,6,0,0,0,0,0,0,0,233.009161,0.545454545,0.545454545,232.748981,233,0.251019011,9,3,0.122345804,0.75,0,0,0,0,0,0,0,0,0,177.240241,142.888867,144.279221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,5,0,0,0,0,0,0,0,233.045547,0.833333333,0.416666667,232.785326,233,0.214674239,8,3,0.13346815,0.578947368,0,0,374.354396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,14,5,0,1,0,0,0,0,0,233.048917,1.55555556,0.555555556,232.788693,233,0.211307003,3,-2,0.100101112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.768703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,14,7,0,0,0,0,0,0,0,233.066676,1.55555556,0.777777778,232.806431,233,0.193568632,3,-4,0.100101112,0,560.834292,522.280672,379.945875,0,0,296.692447,0,0,181.72408,0,186.02325,185.779323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.097808,0
13,14,4,0,0,0,0,0,0,0,233.081932,1.07692308,0.307692308,232.821671,233,0.178329467,7,3,0.144590495,0.454545455,0,0,421.169284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,6,0,0,0,0,0,0,0,233.103061,1.8,0.6,232.842776,233,0.15722386,2,-4,0.111223458,0,0,0,319.994398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6254.99472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,22,5,0,0,0,0,0,0,0,233.139446,2,0.454545455,232.879121,233,0.120879089,1,-4,0.122345804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2239.69343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,22,2,0,0,0,0,0,0,0,233.154703,1.46666667,0.133333333,232.89436,233,0.105639924,5,3,0.166835187,0.285714286,0,0,0,0,0,0,0,0,0,0,105.234778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.288374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.401681,0
11,8,6,0,0,0,0,0,0,0,235.024811,0.727272727,0.545454545,234.76238,235,0.237619704,8,2,0.122345804,0.625,0,0,416.035213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,5,0,0,0,0,0,0,0,235.061196,1,0.416666667,234.798725,235,0.201274932,7,2,0.13346815,0.473684211,960.473272,0,907.583033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,16,5,0,1,0,0,0,0,0,235.064567,1.77777778,0.555555556,234.802092,235,0.197907696,2,-3,0.100101112,0,0,0,0,0,0,0,303.740077,313.58856,297.356039,0,0,0,381.057369,0,332.602521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
